"alias","pop","parent","dims","gating_method","gating_args","collapseDataForGating","groupBy","preprocessing_method","preprocessing_args"
"s","singlet","root","FSC-A,FSC-H","singletGate","prediction_level = 0.99",,,,
"v","viable-","s","Pacific Blue-A","flowClust","neg=1,pos=1",,,"prior_flowClust","neg=1,pos=1"
"nonDebris","nonDebris","v","FSC-A","mindensity",,"TRUE","name",,
"lymph","lymph","nonDebris","FSC-A,SSC-A","flowClust","K=2,target=c(10e4,5e4)",,,"prior_flowClust",
"cd3","cd3+","lymph","cd3","mindensity",,,,,
"*","cd4+/-","cd3","cd4","mindensity",,,,,
"cd8-","cd8-","cd4+","cd8","mindensity","neg=1,pos=1,min=1000",,,,
"cd8+","cd8+","cd4-","cd8","flowClust","neg=1,pos=1,min=0",,,,
"cd4","cd4+cd8-","cd3","cd4,cd8","refGate","cd4+:cd8-",,,,
"cd8","cd4-cd8+","cd3","cd4,cd8","refGate","cd4-:cd8+",,,,
"TNFa","TNFa+","cd4","TNFa","cytokine",,,,,
"IFNg","IFNg+","cd4","IFNg","cytokine",,,,,
"IL2","IL2+","cd4","IL2","cytokine",,,,,
"TNFa","TNFa+","cd8","TNFa","cytokine",,,,,
"IFNg","IFNg+","cd8","IFNg","cytokine",,,,,
"IL2","IL2+","cd8","IL2","cytokine",,,,,
"IL2|IFNg","cd4:IL2|IFNg","cd4",,"boolGate","cd4/IL2|cd4/IFNg",,,,
"cd8 subsets","cd8 subsets","cd8",,"polyFunctions","cd8/IFNg:cd8/IL2:cd8/TNFa",,,,
"IFNg0.998","IFNg+","cd8","IFNg","cytokine","tol=0.001",,,,
