"alias","pop","parent","dims","method","args"
"s","singlet+","root","FSC-A,FSC-H","singletGate","prediction_level = 0.99"
"v","viable-","s","Pacific Blue-A","flowClust.1d","neg=1,pos=1"
"nonDebris","nonDebris-","v","FSC-A","flowClust.1d","neg=2,pos=1"
"lymph","lymph+","nonDebris","FSC-A,SSC-A","flowClust.2d","K=2"
"cd3","cd3+","lymph","PE Tx RD-A","rangeGate","simple = TRUE"
"cd4","cd4+cd8-","cd3","FITC-A,PE Cy55-A","flowClust.1d","neg=1,pos=1"
"cd8","cd4-cd8+","cd3","FITC-A,PE Cy55-A","flowClust.1d","neg=1,pos=1"
"TNFa","TNFa+","cd4","Alexa 680-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"IFNg","IFNg+","cd4","PE Cy7-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"IL2","IL2+","cd4","PE Green laser-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"TNFa","TNFa+","cd8","Alexa 680-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"IFNg","IFNg+","cd8","PE Cy7-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"IL2","IL2+","cd8","PE Green laser-A","flowClust.1d","cutpoint_method='quantile',quantile=0.995"
"IL2|IFNg","cd4:IL2|IFNg","cd4",,"boolGate","cd8/IL2|cd8/IFNg"
"cd8 subsets","cd8 subsets","cd8",,"polyFunctions","cd8/IFNg:cd8/IL2:cd8/TNFa"
